"","Country","Code","Year","Unsafe.water.source..deaths.","Poor.sanitation..deaths.","No.access.to.handwashing.facility..deaths.","Household.air.pollution..deaths.","Outdoor.air.pollution..deaths.","Non.exclusive.breastfeeding..deaths.","Discontinued.breastfeeding..deaths.","Child.wasting..deaths.","Child.stunting..deaths.","Low.birth.weight..deaths.","Secondhand.smoke..deaths.","Alcohol.use..deaths.","Drug.use..deaths.","Diet.low.in.fruits..deaths.","Diet.low.in.vegetables..deaths.","Unsafe.sex..deaths.","Low.physical.activity..deaths.","High.blood.sugar..deaths.","High.cholesterol..deaths.","High.body.mass.index..obesity...deaths.","High.blood.pressure..deaths.","Smoking..deaths.","Iron.deficiency..deaths.","Zinc.deficiency..deaths.","Vitamin.A.deficiency..deaths.","Low.bone.mineral.density..deaths.","Life.expectancy"
"42","Andorra","AND",2016,0.0867729853369,0.0337738788379,0.297372406853,0.645900839384,24.5949204895,0.010407621408,0.00184871624124,0.0307240849886,0.00134223430904,0.31619025367,5.09793347986,56.920980935,6.110525177,13.3243207643,12.0411647166,3.09863489664,20.4411419066,48.9911587276,54.6967583575,57.2373322869,117.533129309,95.804126922,0.00912769700058,0.00440494323115,5.83512713918e-05,8.03175823807,NA
"43","Angola","AGO",1990,33672.6198649,27645.1067001,21233.9983662,12604.4094784,6310.50533835,9035.21974287,713.382352103,46241.1173963,13497.3486764,7304.06613991,1577.61731584,2126.3105998,99.8736162968,2516.0252101,1959.62018159,1581.49712258,757.911736476,3336.07618731,2306.41457853,2792.50080515,8160.10948438,3090.06931971,103.380071067,5540.66259533,9358.88776481,270.672390992,NA
"44","Angola","AGO",1995,35238.5443533,28808.6016882,22133.009562,13316.6268145,6725.33111561,9183.43610238,693.572409703,45982.1430197,13240.0495948,7815.87309651,1637.73482705,2548.61111989,139.337809419,3009.92117112,2329.13819455,3210.22614187,910.576944149,3922.10444777,2796.80102284,3486.76894785,9703.97082442,3459.54882149,124.843313136,6045.77661761,9234.45825347,336.685929311,NA
"45","Angola","AGO",2000,34639.1331289,27525.7863718,22112.8096685,13814.5981301,7575.41743879,9057.01402089,669.027776873,45157.3632525,12132.9220597,8548.1455405,1635.48581656,3665.93260017,176.569197242,3124.37485383,2450.06081412,5679.7698028,991.702194262,4214.84230306,2943.54200944,4302.15742573,10457.7793864,3506.42763972,139.568776838,4977.04430283,8293.05897636,368.265324891,45.3
"46","Angola","AGO",2005,24967.8294855,19577.1907748,17013.6974119,13316.300894,7928.39840264,6667.15024819,456.267078782,33713.813171,6447.94636099,8883.32823419,1700.14485361,5796.87049114,238.499202611,3193.49262496,2576.96198163,9030.63484081,1120.08732648,4846.724943,3146.12704554,5586.84471486,11638.7322578,3786.30543783,137.41713048,2118.88125224,2745.59523559,432.835389829,47.4
"47","Angola","AGO",2006,24714.5869991,19389.2050101,16849.9307057,12873.8490599,7836.09038619,6788.36514848,457.311167752,33433.7892942,6134.41605548,8854.14235956,1685.6763218,6218.32063927,250.246549596,3156.84771238,2571.05810376,9570.60999439,1142.75321118,4985.44246733,3194.44566305,5873.47811703,11837.8628417,3871.39519431,136.814832321,1852.39753301,2163.06906491,448.407801976,47.7
"48","Angola","AGO",2010,17002.2906106,13745.9951882,12487.0510045,11864.4473817,7482.78876532,4646.56507702,321.138874342,26080.3217663,4228.82770805,8823.80022654,1667.68338976,7718.58202561,276.789101267,2828.75728996,2444.2123151,10405.4630304,1217.41681558,5549.70902383,3326.39952878,6858.93914704,12394.651135,4263.8645488,130.490669931,950.389899307,592.978352948,502.308378438,49.6
"49","Angola","AGO",2016,11439.7062786,9121.28547353,8504.57928977,7902.14707579,7033.16879164,2753.48139406,196.03329905,14603.8283885,2057.36230602,7098.34857169,1301.79248306,8662.75221305,302.883828276,2754.87047142,2523.40231745,10200.4636472,1390.97151496,6409.15218376,3811.29036098,8599.46272149,13768.1305611,5209.53477254,110.293870934,390.130951924,175.617265653,595.451319945,NA
"50","Antigua and Barbuda","ATG",1990,1.39499742269,1.06928371989,1.82325908215,3.66454227831,20.4867699793,0.331360712652,0.0384127070708,1.48240841218,0.114866493505,5.45002296774,7.11871938724,5.59856357939,2.75448700736,19.4570506244,20.4600655819,5.09696932428,14.6285434449,82.3317497817,38.1169806024,58.3185411549,103.292919604,11.649442486,0.0263649199344,0.0440159295287,0.0195939106169,1.12755564749,NA
"51","Antigua and Barbuda","ATG",1995,1.37844434829,0.941949857038,1.72186882442,2.71060287817,20.3206159159,0.37443478729,0.0415968235537,1.49723609332,0.11845430718,7.02471400183,7.7594077141,6.30733140258,3.19292853398,19.2317146853,19.99277582,9.57227430074,14.5685839985,86.7818731156,38.5070852661,63.3309567008,102.48222311,11.1455559032,0.0279178455007,0.043421070397,0.0170077470874,1.22166624072,NA
"52","Antigua and Barbuda","ATG",2000,1.11911634576,0.638475029599,1.56044976616,1.96509331411,18.535506916,0.396231488045,0.0371726830419,1.5238333537,0.113933458549,7.26652110856,7.37338601614,8.23381137806,3.66768195536,17.920340087,17.8399294341,18.3189743377,13.3632452508,91.1687699023,34.8846381847,62.9936815713,97.0473208758,11.0432809035,0.0287343370487,0.0411175796096,0.0132430458823,1.4216204954,73.6
"53","Antigua and Barbuda","ATG",2005,0.845634030063,0.436950965947,1.49117980598,1.64972491127,17.8653645682,0.353824794472,0.0266393326884,1.34971501806,0.11042725892,5.75213329376,7.39792682327,10.6276872132,4.08208439582,16.910705481,17.3337630461,11.6959370579,13.5981177309,96.1697420618,34.5830423813,65.9036564059,97.6586165913,9.98225714897,0.0308829164944,0.0364672435653,0.00746492997451,1.63434244542,74.6
